"module name","license","repository"
"@amityco/ts-sdk-react-native@6.20.0","CC-BY-ND-4.0",""
"@commitlint/config-conventional@17.8.1","MIT","https://github.com/conventional-changelog/commitlint"
"@devvie/bottom-sheet@0.3.0","MIT","https://github.com/stanleyugwu/react-native-bottom-sheet"
"@evilmartians/lefthook@1.6.7","MIT","https://github.com/evilmartians/lefthook"
"@react-native-async-storage/async-storage@1.23.1","MIT","https://github.com/react-native-async-storage/async-storage"
"@react-native-community/eslint-config@3.2.0","MIT","https://github.com/facebook/react-native"
"@react-native-community/netinfo@9.5.0","MIT","https://github.com/react-native-netinfo/react-native-netinfo"
"@react-navigation/native-stack@6.9.10","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/native@6.1.6","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/stack@6.3.16","MIT","https://github.com/react-navigation/react-navigation"
"@reduxjs/toolkit@1.9.7","MIT","https://github.com/reduxjs/redux-toolkit"
"@release-it/conventional-changelog@5.1.1","MIT","https://github.com/release-it/conventional-changelog"
"@types/jest@28.1.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash.debounce@4.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@18.2.22","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-native-video@5.0.20","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-native@0.72.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.71","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"amity-react-native-social-ui-kit@0.1.4","MIT","https://github.com/AmityCo/Amity-Social-UIKit-React-Native-OpenSource"
"babel-plugin-module-resolver@5.0.0","MIT","https://github.com/tleunen/babel-plugin-module-resolver"
"commitlint@17.8.1","MIT","https://github.com/conventional-changelog/commitlint"
"dayjs@1.11.10","MIT","https://github.com/iamkun/dayjs"
"del-cli@5.1.0","MIT","https://github.com/sindresorhus/del-cli"
"eslint-config-prettier@8.10.0","MIT","https://github.com/prettier/eslint-config-prettier"
"eslint-plugin-prettier@4.2.1","MIT","https://github.com/prettier/eslint-plugin-prettier"
"eslint@8.57.0","MIT","https://github.com/eslint/eslint"
"husky@8.0.3","MIT","https://github.com/typicode/husky"
"i18next@22.4.10","MIT","https://github.com/i18next/i18next"
"jest@28.1.3","MIT","https://github.com/facebook/jest"
"lint-staged@15.2.2","MIT","https://github.com/okonet/lint-staged"
"lodash.debounce@4.0.8","MIT","https://github.com/lodash/lodash"
"pod-install@0.1.39","MIT","https://github.com/expo/expo-cli"
"prettier@2.8.8","MIT","https://github.com/prettier/prettier"
"react-content-loader@6.2.1","MIT","https://github.com/danilowoz/react-content-loader"
"react-hook-form@7.51.1","MIT","https://github.com/react-hook-form/react-hook-form"
"react-i18next@12.1.5","MIT","https://github.com/i18next/react-i18next"
"react-native-builder-bob@0.20.4","MIT","https://github.com/callstack/react-native-builder-bob"
"react-native-controlled-mentions@2.2.5","MIT","https://github.com/dabakovich/react-native-controlled-mentions"
"react-native-create-thumbnail@2.0.0","MIT","https://github.com/souvik-ghosh/react-native-create-thumbnail"
"react-native-gesture-handler@2.15.0","MIT","https://github.com/software-mansion/react-native-gesture-handler"
"react-native-image-picker@7.1.2","MIT","https://github.com/react-native-image-picker/react-native-image-picker"
"react-native-insta-story@1.1.9","MIT*","https://github.com/caglardurmus/react-native-insta-story"
"react-native-media-controls@2.3.0","MIT",""
"react-native-modal-selector@2.1.2","MIT","https://github.com/peacechen/react-native-modal-selector"
"react-native-orientation-locker@1.6.0","MIT","https://github.com/wonday/react-native-orientation-locker"
"react-native-paper@5.12.3","MIT","https://github.com/callstack/react-native-paper"
"react-native-progress@5.0.1","MIT","https://github.com/oblador/react-native-progress"
"react-native-radio-buttons-group@3.1.0","MIT","https://github.com/thakurballary/react-native-radio-buttons-group"
"react-native-safe-area-context@4.9.0","MIT","https://github.com/th3rdwave/react-native-safe-area-context"
"react-native-svg@14.1.0","MIT","https://github.com/react-native-community/react-native-svg"
"react-native-vision-camera@3.9.1","MIT","https://github.com/mrousavy/react-native-vision-camera"
"react-native@0.72.12","MIT","https://github.com/facebook/react-native"
"react-redux@8.1.3","MIT","https://github.com/reduxjs/react-redux"
"react@18.2.0","MIT","https://github.com/facebook/react"
"redux@4.2.1","MIT","https://github.com/reduxjs/redux"
"release-it@15.11.0","MIT","https://github.com/release-it/release-it"
"turbo@1.13.0","MPL-2.0","https://github.com/vercel/turbo"
"typescript@5.4.3","Apache-2.0","https://github.com/Microsoft/TypeScript"
